product_name,brands,categories,ingredients,labels,nutriscore,text,cluster
Nutabella,,"Snacks,Breakfasts,Spreads,Sweet snacks,Confectioneries,Sweet spreads,fr:Pâtes à tartiner,Chocolat",,,,"Nutabella  Snacks,Breakfasts,Spreads,Sweet snacks,Confectioneries,Sweet spreads,fr:Pâtes à tartiner,Chocolat   ",7
Crème de marrons de l'Ardèche,Clement Faugier,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Produits à tartiner, Fruits à coques et dérivés, Pâtes à tartiner végétales, Crèmes de marrons",,,,"Crème de marrons de l'Ardèche Clement Faugier Aliments et boissons à base de végétaux, Aliments d'origine végétale, Produits à tartiner, Fruits à coques et dérivés, Pâtes à tartiner végétales, Crèmes de marrons   ",7
Céréales All Bran Kellogg's Fibre Plus,Kellogg's,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales pour petit déjeuner riches en fibres,Bâtonnets de son de blé,Céréales pour petit déjeuner à base de son de blé",,,,"Céréales All Bran Kellogg's Fibre Plus Kellogg's Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales extrudées,Céréales pour petit déjeuner riches en fibres,Bâtonnets de son de blé,Céréales pour petit déjeuner à base de son de blé   ",4
Viva lait 1/2 écrémé,candia,"Dairies,Milks (liquid and powder),Milks,Homogenized milks,Pasteurised products,Semi-skimmed milks,UHT Milks,UHT milk fortified with vitamins,Semi-skimmed UHT milk fortified with vitamins",,,,"Viva lait 1/2 écrémé candia Dairies,Milks (liquid and powder),Milks,Homogenized milks,Pasteurised products,Semi-skimmed milks,UHT Milks,UHT milk fortified with vitamins,Semi-skimmed UHT milk fortified with vitamins   ",9
Italian Chopped Tomatoes,Tesco,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Vegetables,Canned vegetables,Tomatoes and their products,Tomatoes,Canned tomatoes",,,,"Italian Chopped Tomatoes Tesco Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Vegetables,Canned vegetables,Tomatoes and their products,Tomatoes,Canned tomatoes   ",5
Organic Oat Drink imp,Rude health,"Dranken en drankbereidingen,Plantaardige levensmiddelen en dranken,Dranken,Plantaardige levensmiddelen,Granen en aardappels,Zuivelvervangers,Granen en graanproducten,Melkvervangers,Plantaardige dranken,Plantaardige melken,Tarwemelken,Haverdranken",,,,"Organic Oat Drink imp Rude health Dranken en drankbereidingen,Plantaardige levensmiddelen en dranken,Dranken,Plantaardige levensmiddelen,Granen en aardappels,Zuivelvervangers,Granen en graanproducten,Melkvervangers,Plantaardige dranken,Plantaardige melken,Tarwemelken,Haverdranken   ",9
eau minérale naturelle,Sabrine,"Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans sucre ajouté,Eaux minérales naturelles,Eau minérale naturelle non gazeuse",,,,"eau minérale naturelle Sabrine Boissons et préparations de boissons,Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans sucre ajouté,Eaux minérales naturelles,Eau minérale naturelle non gazeuse   ",8
Absolute black dark chocolate,Montezuma's,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar with more than 70% cocoa, 100% cocoa solids dark chocolate",,,,"Absolute black dark chocolate Montezuma's Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar with more than 70% cocoa, 100% cocoa solids dark chocolate   ",9
Le Supérieur -25% de Sel - Conservation sans Nitrite,Fleury Michon,"Meats and their products,Meats,Prepared meats,Specific products,Hams,Products for specific diets,White hams,Products with reduced salt,Prepared meats with less salt,White hams with less salt,fr:Jambon sans couenne",,,,"Le Supérieur -25% de Sel - Conservation sans Nitrite Fleury Michon Meats and their products,Meats,Prepared meats,Specific products,Hams,Products for specific diets,White hams,Products with reduced salt,Prepared meats with less salt,White hams with less salt,fr:Jambon sans couenne   ",9
eyoo,Excelo,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, en:filled-biscuits",,,,"eyoo Excelo Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, en:filled-biscuits   ",1
Noisetta,,"Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams",,,,"Noisetta  Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams   ",9
Vegetable and roast chicken soup,YORKSHIRE PROVENDER,"Meals, Soups, Chicken soups",,,,"Vegetable and roast chicken soup YORKSHIRE PROVENDER Meals, Soups, Chicken soups   ",9
Čokoláda na vaření,"Fin Carré, lidl","Grickalice,Slatki zalogaji,Kakao i njegovi proizvodi,Čokolade,Tamne čokolade",,,,"Čokoláda na vaření Fin Carré, lidl Grickalice,Slatki zalogaji,Kakao i njegovi proizvodi,Čokolade,Tamne čokolade   ",9
Chicorée Café,Bellarom,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Bebidas à base de plantas,en:Beverage preparations,Bebidas instantâneas,en:Instant mix of chicory and coffee powder,Mistura instantânea de chicória e café solúvel",,,,"Chicorée Café Bellarom en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Bebidas à base de plantas,en:Beverage preparations,Bebidas instantâneas,en:Instant mix of chicory and coffee powder,Mistura instantânea de chicória e café solúvel   ",9
Sel Moulu de Méditerranée,la baleine,"Condiments, Sels, Sels marins",,,,"Sel Moulu de Méditerranée la baleine Condiments, Sels, Sels marins   ",9
Carré frais 0 pourcent ail et fines herbes,Elle & Vire,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages pasteurisés, Fromages à tartiner, Fromages à la crème, en:Uncured-soft-cheese-spreadable-around-30-40-fat-flavoured",,,,"Carré frais 0 pourcent ail et fines herbes Elle & Vire Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages pasteurisés, Fromages à tartiner, Fromages à la crème, en:Uncured-soft-cheese-spreadable-around-30-40-fat-flavoured   ",7
Pepsi Max,"Pepsi zero, PepsiCo","Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Diet cola soft drink, بيبسي ماكس",,,,"Pepsi Max Pepsi zero, PepsiCo Beverages and beverages preparations, Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, Diet cola soft drink, بيبسي ماكس   ",9
Huile d'olive vierge extra,"Carrefour BIO,Carrefour","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Produits de l'olivier,Huiles,Huiles d'olive,Huiles d'olive vierges,en:Olive-oil-blends,Huile d'olive vierge extra",,,,"Huile d'olive vierge extra Carrefour BIO,Carrefour Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Produits de l'olivier,Huiles,Huiles d'olive,Huiles d'olive vierges,en:Olive-oil-blends,Huile d'olive vierge extra   ",8
Tartines Bio quinoa & graines 450g,"La Boulangère Bio,La boulangere","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Tartine",,,,"Tartines Bio quinoa & graines 450g La Boulangère Bio,La boulangere Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Tartine   ",4
Tilda Steamed Brown Basmati Rice,Tilda,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Rices,Aromatic rices,Indica rices,Long grain rices,Brown rices,Basmati rices,Brown Basmati rices",,,,"Tilda Steamed Brown Basmati Rice Tilda Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Rices,Aromatic rices,Indica rices,Long grain rices,Brown rices,Basmati rices,Brown Basmati rices   ",9
Flash Wondermint Gum,Flash,"Snacks,Sweet snacks,Confectioneries,Chewing gum,Chewing gum with sugar",,,,"Flash Wondermint Gum Flash Snacks,Sweet snacks,Confectioneries,Chewing gum,Chewing gum with sugar   ",9
Biscuits Mega Duo imp,Gullon,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits fourrés",,,,"Biscuits Mega Duo imp Gullon Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits fourrés   ",1
Beurre badaouia,,"Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Beurres",,,,"Beurre badaouia  Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Beurres   ",7
Granola Chocolat,Bjorg,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate",,,,"Granola Chocolat Bjorg Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate   ",5
"Ketchup zéro sel ajouré, 70% moins de sucres",HEINZ,"Condiments,Ketchup",,,,"Ketchup zéro sel ajouré, 70% moins de sucres HEINZ Condiments,Ketchup   ",6
Crème caramel,Danone,"Produits laitiers,Desserts,Desserts lactés,Crèmes dessert caramel",,,,"Crème caramel Danone Produits laitiers,Desserts,Desserts lactés,Crèmes dessert caramel   ",3
Delicia,maroc,,,,,Delicia maroc    ,9
Cheerios Multigrain,Cheerios Multigrain,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Extruded cereals",,,,"Cheerios Multigrain Cheerios Multigrain Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Extruded cereals   ",5
Nocciolata,Rigoni di Asiago,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes et au cacao",,,,"Nocciolata Rigoni di Asiago Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes et au cacao   ",7
cooky,be,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,fr:Graisses",,,,"cooky be Snacks,Sweet snacks,Biscuits and cakes,Biscuits,fr:Graisses   ",1
Bio Hafer,Vemondo,"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Céréales et pommes de terre, Substituts de produits laitiers, Céréales et dérivés, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de céréales, Boissons à l'avoine, en:A",,,,"Bio Hafer Vemondo Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Céréales et pommes de terre, Substituts de produits laitiers, Céréales et dérivés, Substituts du lait, Boissons à base de végétaux, Boissons végétales, Boissons végétales de céréales, Boissons à l'avoine, en:A   ",8
Nutella Plant-Based,"Nutella, Ferrero","Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",,,,"Nutella Plant-Based Nutella, Ferrero Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads   ",7
Dark Chocolate Chip Oat Biscuits,Nairn's,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits",,,,"Dark Chocolate Chip Oat Biscuits Nairn's Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits   ",1
Maxi Tranches Sans sucre ajouté Nature,Jacquet,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie",,,,"Maxi Tranches Sans sucre ajouté Nature Jacquet Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie   ",4
,Lactel,"Produits laitiers,Laits,Laits homogénéisés,Laits demi-écrémés,Laits UHT,Laits demi-écrémés UHT enrichis en vitamines,Laits demi-écrémés UHT",,,," Lactel Produits laitiers,Laits,Laits homogénéisés,Laits demi-écrémés,Laits UHT,Laits demi-écrémés UHT enrichis en vitamines,Laits demi-écrémés UHT   ",7
Crème sous pression à la vanille 250g,Isigny Sainte-Mère,"Produits laitiers,Crèmes,Crèmes fouettées,en:cremes-fouettees",,,,"Crème sous pression à la vanille 250g Isigny Sainte-Mère Produits laitiers,Crèmes,Crèmes fouettées,en:cremes-fouettees   ",9
Tesco British Salted Block Butter,Tesco,"Produits laitiers,Matières grasses,Produits à tartiner,Matières grasses à tartiner,Matières grasses animales,Produits laitiers à tartiner,Matière grasse laitière,Beurres,Beurres demi-sel",,,,"Tesco British Salted Block Butter Tesco Produits laitiers,Matières grasses,Produits à tartiner,Matières grasses à tartiner,Matières grasses animales,Produits laitiers à tartiner,Matière grasse laitière,Beurres,Beurres demi-sel   ",7
Schweppes Agrum',"Orangina Schweppes,Schweppes","Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons gazeuses,Boissons aux fruits,Boissons édulcorées,Sodas,Sodas aux fruits,Boissons sans alcool,Boissons avec sucre ajouté",,,,"Schweppes Agrum' Orangina Schweppes,Schweppes Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons gazeuses,Boissons aux fruits,Boissons édulcorées,Sodas,Sodas aux fruits,Boissons sans alcool,Boissons avec sucre ajouté   ",8
180G LT NOISETTE COTE D OR,Côte d'Or,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Milk chocolates,Chocolates with hazelnuts,Milk chocolates with hazelnuts",,,,"180G LT NOISETTE COTE D OR Côte d'Or Snacks,Sweet snacks,Cocoa and its products,Chocolates,Milk chocolates,Chocolates with hazelnuts,Milk chocolates with hazelnuts   ",9
Corn Flakes,Kellogg's,"Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Cereais e Batatas,Cereais e seus produtos,Cereias para pequeno-almoçco,Flocos,Flocos de cereais,en:Extruded cereals,en:Extruded flakes,Flocos de milho",,,,"Corn Flakes Kellogg's Alimentos e bebidas à base de plantas,Alimentos à base de plantas,Pequenos alomoços,Cereais e Batatas,Cereais e seus produtos,Cereias para pequeno-almoçco,Flocos,Flocos de cereais,en:Extruded cereals,en:Extruded flakes,Flocos de milho   ",9
Grape-Nuts,Post,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales pour petit déjeuner riches en fibres",,,,"Grape-Nuts Post Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales pour petit déjeuner riches en fibres   ",4
SO organic Mayonnaise,Sainsbury's,"Condiments, Sauces, Mayonnaises, Groceries",,,,"SO organic Mayonnaise Sainsbury's Condiments, Sauces, Mayonnaises, Groceries   ",6
Noisettes grillées,Alesto,"Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Hazelnuts,Shelled nuts,Roasted nuts,Shelled hazelnuts,Roasted hazelnuts",,,,"Noisettes grillées Alesto Plant-based foods and beverages,Plant-based foods,Nuts and their products,Nuts,Hazelnuts,Shelled nuts,Roasted nuts,Shelled hazelnuts,Roasted hazelnuts   ",5
Mon Taboulé Oriental,Pierre Martinet,"plats-préparés, plats-à-base-de-semoule, taboulés, taboulés-orientaux, fr:frais, en:plats-a-base-de-semoule, en:plats-prepares, en:plats-prepares-frais, en:taboules, en:taboules-a-l-huile-d-olive, en:taboules-frais, en:taboules-orientaux",,,,"Mon Taboulé Oriental Pierre Martinet plats-préparés, plats-à-base-de-semoule, taboulés, taboulés-orientaux, fr:frais, en:plats-a-base-de-semoule, en:plats-prepares, en:plats-prepares-frais, en:taboules, en:taboules-a-l-huile-d-olive, en:taboules-frais, en:taboules-orientaux   ",9
El Mordjene Crème De Noisettes Grillées,Cebon,"Produits laitiers,Petit-déjeuners,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes",,,,"El Mordjene Crème De Noisettes Grillées Cebon Produits laitiers,Petit-déjeuners,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes   ",7
Skyr,Milbona,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Skyrs,Skyrs nature",,,,"Skyr Milbona Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Skyrs,Skyrs nature   ",3
Perly,Perly,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages",,,,"Perly Perly Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages   ",3
Greek style natural yogurt,Sainsbury's,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Plain fermented dairy desserts, Plain yogurts, Greek-style yogurts",,,,"Greek style natural yogurt Sainsbury's Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Plain fermented dairy desserts, Plain yogurts, Greek-style yogurts   ",2
beurre,Président,"Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Beurres, Beurres doux, Matière grasse de beurre, Beurres de crème douce",,,,"beurre Président Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, en:dairy-spread, Beurres, Beurres doux, Matière grasse de beurre, Beurres de crème douce   ",7
Crousti' Avoine Chocolat,Bjorg,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate,Crunchy cereal clusters,Cereal clusters with chocolate",,,,"Crousti' Avoine Chocolat Bjorg Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate,Crunchy cereal clusters,Cereal clusters with chocolate   ",5
Fraise Intense,Bonne Maman,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de fruits rouges, Confitures de fraises",,,,"Fraise Intense Bonne Maman Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Produits à tartiner, Pâtes à tartiner végétales, Produits à tartiner sucrés, Confitures et marmelades, Confitures, Confitures de fruits rouges, Confitures de fraises   ",7
Grand Arôme 32% de Cacao,Poulain,"Boissons et préparations de boissons,Boissons,Cacao et dérivés,Préparations pour boissons,Cacaos et chocolats en poudre,Boissons instantanées,Cacaos en poudre,Chocolats en poudre,Boissons avec sucre ajouté",,,,"Grand Arôme 32% de Cacao Poulain Boissons et préparations de boissons,Boissons,Cacao et dérivés,Préparations pour boissons,Cacaos et chocolats en poudre,Boissons instantanées,Cacaos en poudre,Chocolats en poudre,Boissons avec sucre ajouté   ",8
Worcestershire Sauce,Lea & Perrins,"Condiments, Sauces, Worcestershire sauces",,,,"Worcestershire Sauce Lea & Perrins Condiments, Sauces, Worcestershire sauces   ",6
FuzeTea Thé glacé pêche intense,FUZE TEA,"Boissons,Boissons édulcorées,Boissons au thé,Thés glacés,Thés glacés saveur pêche,Boissons avec sucre ajouté",,,,"FuzeTea Thé glacé pêche intense FUZE TEA Boissons,Boissons édulcorées,Boissons au thé,Thés glacés,Thés glacés saveur pêche,Boissons avec sucre ajouté   ",8
Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal 385g,"Amora, Unilever","Condiments, Sauces, Moutardes, en:groceries, Spécialité à la Moutarde",,,,"Amora Spécialité à la moutarde de Dijon aux épices et aromates Savora Bocal 385g Amora, Unilever Condiments, Sauces, Moutardes, en:groceries, Spécialité à la Moutarde   ",6
Jibi,Centrale Danone,"Cacao et dérivés, Cacaos et chocolats en poudre, Cacaos en poudre, Boisson cacaotée ou au chocolat instantanée sucrée enrichie en vitamines prête à boire (reconstituée avec du lait demi-écrémé standard)",,,,"Jibi Centrale Danone Cacao et dérivés, Cacaos et chocolats en poudre, Cacaos en poudre, Boisson cacaotée ou au chocolat instantanée sucrée enrichie en vitamines prête à boire (reconstituée avec du lait demi-écrémé standard)   ",9
Grilletine Sans sucres ajoutés Blé complet,Pasquier,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains grillés,Petits pains grillés",,,,"Grilletine Sans sucres ajoutés Blé complet Pasquier Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains grillés,Petits pains grillés   ",4
Sergio,excelo,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner",,,,"Sergio excelo Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner   ",7
Dark Chocolate,TESCO finest,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar",,,,"Dark Chocolate TESCO finest Snacks, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar   ",9
,,,,,,     ,9
Orangina,Orangina,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Sodas, Sodas aux fruits, Sodas à l'orange, Orangina",,,,"Orangina Orangina Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Sodas, Sodas aux fruits, Sodas à l'orange, Orangina   ",8
Merci Finest Selection Assorted Chocolates,Storck,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons, Chocolates, Filled chocolates, Assorted chocolates",,,,"Merci Finest Selection Assorted Chocolates Storck Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons, Chocolates, Filled chocolates, Assorted chocolates   ",9
Custard powder,Bird's,"Dairies, Condiments, Cooking helpers, Sauces, Dessert mixes, Dessert sauces, Custards and pastry creams, Custard powder",,,,"Custard powder Bird's Dairies, Condiments, Cooking helpers, Sauces, Dessert mixes, Dessert sauces, Custards and pastry creams, Custard powder   ",6
LOTUS BISCOFF Speculoos Original - 250g (2x125g),"Lotus Bakeries, Lotus","Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Spéculoos, Biscuits sucrés & biscuits apéritifs, en:Biscuits/Cookies (Shelf Stable)",,,,"LOTUS BISCOFF Speculoos Original - 250g (2x125g) Lotus Bakeries, Lotus Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Spéculoos, Biscuits sucrés & biscuits apéritifs, en:Biscuits/Cookies (Shelf Stable)   ",1
Noir 70% Intense,"Côte d'Or,Mondelēz","Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",,,,"Noir 70% Intense Côte d'Or,Mondelēz Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum   ",9
Biscuits Germe de Blé et Pépites de Chocolat,"Lidl,Sondey","Snacks,Sweet snacks,Frozen foods,Biscuits and cakes,Biscuits,Chocolate biscuits",,,,"Biscuits Germe de Blé et Pépites de Chocolat Lidl,Sondey Snacks,Sweet snacks,Frozen foods,Biscuits and cakes,Biscuits,Chocolate biscuits   ",1
Carottes rapees citron dnp 320g,Bonduelle,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Aliments et boissons à base de légumes,Légumes et dérivés,Légumes,Légumes préparés,Carottes,Carottes râpées,Crudites, en:Vegetables - Prepared/Processed (Perishable)",,,,"Carottes rapees citron dnp 320g Bonduelle Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Aliments et boissons à base de légumes,Légumes et dérivés,Légumes,Légumes préparés,Carottes,Carottes râpées,Crudites, en:Vegetables - Prepared/Processed (Perishable)   ",8
Everyday Tiger Rolls with Sourdough,Jason's,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, White breads, Bread white from wheat flour of the highest grade GOST 26987-86",,,,"Everyday Tiger Rolls with Sourdough Jason's Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, White breads, Bread white from wheat flour of the highest grade GOST 26987-86   ",0
HERTA LE BON PARIS Jambon sel réduit sans nitrite x4-140g,"HERTA, Le Bon Paris","Viandes et dérivés, Charcuteries, en:Specific products, Jambons, en:Products for specific diets, Jambons blancs, Jambon cuit supérieur, Produits à teneur réduite en sel, Jambon cuit supérieur découenné, Porc et dérivés, en:Pork (prepared)",,,,"HERTA LE BON PARIS Jambon sel réduit sans nitrite x4-140g HERTA, Le Bon Paris Viandes et dérivés, Charcuteries, en:Specific products, Jambons, en:Products for specific diets, Jambons blancs, Jambon cuit supérieur, Produits à teneur réduite en sel, Jambon cuit supérieur découenné, Porc et dérivés, en:Pork (prepared)   ",9
Premium Fruit & Nut Muesli,Lidl,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Fruits et produits dérivés,Céréales pour petit-déjeuner,Fruits,Céréales aux fruits,Mueslis,Mueslis aux fruits",,,,"Premium Fruit & Nut Muesli Lidl Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Fruits et produits dérivés,Céréales pour petit-déjeuner,Fruits,Céréales aux fruits,Mueslis,Mueslis aux fruits   ",4
Huile Isio 4,Lesieur,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Huiles,Huiles aromatisées,Mélanges d'huiles,en:combined-oil-blended-vegetable-oils",,,,"Huile Isio 4 Lesieur Aliments et boissons à base de végétaux,Aliments d'origine végétale,Matières grasses,Matières grasses végétales,Huiles,Huiles aromatisées,Mélanges d'huiles,en:combined-oil-blended-vegetable-oils   ",8
Emprésuré au chocolat,Malo,"Desserts,Entremets - mousses et crème desserts,Crèmes dessert",,,,"Emprésuré au chocolat Malo Desserts,Entremets - mousses et crème desserts,Crèmes dessert   ",9
San Pellegrino,"San Pellegrino, Nestlé","Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eau minérale naturelle gazéifiée",,,,"San Pellegrino San Pellegrino, Nestlé Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eau minérale naturelle gazéifiée   ",8
Creme a tartiner,Leka c,fr:pates-a-tartiner,,,,Creme a tartiner Leka c fr:pates-a-tartiner   ,7
Milka wholenut,Milka,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Chocolats,Chocolats au lait,Chocolats aux noisettes,Chocolats au lait aux noisettes",,,,"Milka wholenut Milka Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Chocolats,Chocolats au lait,Chocolats aux noisettes,Chocolats au lait aux noisettes   ",9
